[2026-05-06T08:25:11.776+0000] {subprocess.py:93} INFO - Failed MAZDOCK: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.777+0000] {subprocess.py:93} INFO - Failed RECLTD: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.778+0000] {subprocess.py:93} INFO - Failed MOTHERSON: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.779+0000] {subprocess.py:93} INFO - Failed DLF: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.780+0000] {subprocess.py:93} INFO - Failed BRITANNIA: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.781+0000] {subprocess.py:93} INFO - Failed IIFL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.782+0000] {subprocess.py:93} INFO - Failed ASIANPAINT: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.783+0000] {subprocess.py:93} INFO - Failed BHARATFORG: Too many requests
[2026-05-06T08:25:11.785+0000] {subprocess.py:93} INFO - Failed TATAPOWER: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.787+0000] {subprocess.py:93} INFO - Failed COALINDIA: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.788+0000] {subprocess.py:93} INFO - Failed NTPC: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.789+0000] {subprocess.py:93} INFO - Failed UNITDSPR: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.790+0000] {subprocess.py:93} INFO - Failed ABB: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.791+0000] {subprocess.py:93} INFO - Failed AUROPHARMA: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.792+0000] {subprocess.py:93} INFO - Failed CAMS: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.792+0000] {subprocess.py:93} INFO - Failed LTM: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.793+0000] {subprocess.py:93} INFO - Failed BDL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.795+0000] {subprocess.py:93} INFO - Failed NATIONALUM: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.796+0000] {subprocess.py:93} INFO - Failed VEDL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.796+0000] {subprocess.py:93} INFO - Failed ADANIENT: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.797+0000] {subprocess.py:93} INFO - Failed WIPRO: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.798+0000] {subprocess.py:93} INFO - Failed HDFCBANK: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.799+0000] {subprocess.py:93} INFO - Failed ITC: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.801+0000] {subprocess.py:93} INFO - Failed BAJAJ-AUTO: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.803+0000] {subprocess.py:93} INFO - Failed MARUTI: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.805+0000] {subprocess.py:93} INFO - Failed KOTAKBANK: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.806+0000] {subprocess.py:93} INFO - Failed LUPIN: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.807+0000] {subprocess.py:93} INFO - Failed SUZLON: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.808+0000] {subprocess.py:93} INFO - Failed HINDUNILVR: Too many requests
[2026-05-06T08:25:11.809+0000] {subprocess.py:93} INFO - Failed ONGC: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.811+0000] {subprocess.py:93} INFO - Failed OIL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.812+0000] {subprocess.py:93} INFO - Failed TATASTEEL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.813+0000] {subprocess.py:93} INFO - Failed TRENT: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.814+0000] {subprocess.py:93} INFO - Failed TVSMOTOR: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.816+0000] {subprocess.py:93} INFO - Failed JINDALSTEL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.817+0000] {subprocess.py:93} INFO - Failed TECHM: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.818+0000] {subprocess.py:93} INFO - Failed EICHERMOT: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.820+0000] {subprocess.py:93} INFO - Failed JUBLFOOD: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.821+0000] {subprocess.py:93} INFO - Failed GLENMARK: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.822+0000] {subprocess.py:93} INFO - Failed CDSL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.824+0000] {subprocess.py:93} INFO - Failed POLICYBZR: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.825+0000] {subprocess.py:93} INFO - Failed NUVAMA: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.826+0000] {subprocess.py:93} INFO - Failed HAL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.827+0000] {subprocess.py:93} INFO - Failed KFINTECH: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.828+0000] {subprocess.py:93} INFO - Failed SBILIFE: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.829+0000] {subprocess.py:93} INFO - Failed NESTLEIND: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.830+0000] {subprocess.py:93} INFO - Failed ULTRACEMCO: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.830+0000] {subprocess.py:93} INFO - Failed TATATECH: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.831+0000] {subprocess.py:93} INFO - Failed DIVISLAB: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.832+0000] {subprocess.py:93} INFO - Failed POWERGRID: Too many requests
[2026-05-06T08:25:11.833+0000] {subprocess.py:93} INFO - Failed ALKEM: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.835+0000] {subprocess.py:93} INFO - Failed IGL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.836+0000] {subprocess.py:93} INFO - Failed OBEROIRLTY: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.837+0000] {subprocess.py:93} INFO - Failed JSWSTEEL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.839+0000] {subprocess.py:93} INFO - Failed HDFCLIFE: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.840+0000] {subprocess.py:93} INFO - Failed ADANIPORTS: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.841+0000] {subprocess.py:93} INFO - Failed DMART: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.845+0000] {subprocess.py:93} INFO - Failed DABUR: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.846+0000] {subprocess.py:93} INFO - Failed MUTHOOTFIN: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.848+0000] {subprocess.py:93} INFO - Failed M&M: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.849+0000] {subprocess.py:93} INFO - Failed NAUKRI: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.851+0000] {subprocess.py:93} INFO - Failed ETERNAL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.852+0000] {subprocess.py:93} INFO - Failed VBL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.853+0000] {subprocess.py:93} INFO - Failed MFSL: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.855+0000] {subprocess.py:93} INFO - Failed MCX: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.856+0000] {subprocess.py:93} INFO - Failed OFSS: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.857+0000] {subprocess.py:93} INFO - Failed ICICIBANK: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.858+0000] {subprocess.py:93} INFO - Failed SHREECEM: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.860+0000] {subprocess.py:93} INFO - Failed HINDZINC: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.861+0000] {subprocess.py:93} INFO - Failed DIXON: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.862+0000] {subprocess.py:93} INFO - Failed JSWENERGY: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.863+0000] {subprocess.py:93} INFO - Failed TMPV: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.864+0000] {subprocess.py:93} INFO - Failed TMCV: Incorrect `api_key` or `access_token`.
[2026-05-06T08:25:11.866+0000] {subprocess.py:93} INFO - Fetched: 0 | Failed: 135
[2026-05-06T08:25:11.867+0000] {subprocess.py:93} INFO - Failed tickers: ['IDFCFIRSTB', 'PNB', 'PNBHOUSING', 'RELIANCE', 'INDUSTOWER', 'BAJAJFINSV', 'SHRIRAMFIN', 'POLYCAB', 'CANBK', 'BANKBARODA', 'IDEA', 'CIPLA', 'AXISBANK', 'GODREJPROP', 'SBIN', 'DRREDDY', 'TCS', 'LAURUSLABS', 'ABCAPITAL', 'BIOCON', 'BHARTIARTL', 'HINDALCO', 'HUDCO', 'ASHOKLEY', 'PERSISTENT', 'LICHSGFIN', 'BOSCHLTD', 'NBCC', 'INDUSINDBK', 'MPHASIS', 'KALYANKJIL', 'HINDPETRO', 'INDIGO', 'HCLTECH', 'HEROMOTOCO', 'INFY', 'BAJFINANCE', 'TATACONSUM', 'COFORGE', 'BEL', 'SAIL', 'PFC', 'SRF', 'MANAPPURAM', 'CHOLAFIN', 'JIOFIN', 'PPLPHARMA', 'NMDC', 'GRASIM', 'VOLTAS', 'LTF', 'GAIL', 'INDHOTEL', 'ZYDUSLIFE', 'BHEL', 'SUNPHARMA', 'LICI', 'LT', 'ANGELONE', 'TITAN', 'HDFCAMC', 'AMBUJACEM', 'MAZDOCK', 'RECLTD', 'MOTHERSON', 'DLF', 'BRITANNIA', 'IIFL', 'ASIANPAINT', 'BHARATFORG', 'TATAPOWER', 'COALINDIA', 'NTPC', 'UNITDSPR', 'ABB', 'AUROPHARMA', 'CAMS', 'LTM', 'BDL', 'NATIONALUM', 'VEDL', 'ADANIENT', 'WIPRO', 'HDFCBANK', 'ITC', 'BAJAJ-AUTO', 'MARUTI', 'KOTAKBANK', 'LUPIN', 'SUZLON', 'HINDUNILVR', 'ONGC', 'OIL', 'TATASTEEL', 'TRENT', 'TVSMOTOR', 'JINDALSTEL', 'TECHM', 'EICHERMOT', 'JUBLFOOD', 'GLENMARK', 'CDSL', 'POLICYBZR', 'NUVAMA', 'HAL', 'KFINTECH', 'SBILIFE', 'NESTLEIND', 'ULTRACEMCO', 'TATATECH', 'DIVISLAB', 'POWERGRID', 'ALKEM', 'IGL', 'OBEROIRLTY', 'JSWSTEEL', 'HDFCLIFE', 'ADANIPORTS', 'DMART', 'DABUR', 'MUTHOOTFIN', 'M&M', 'NAUKRI', 'ETERNAL', 'VBL', 'MFSL', 'MCX', 'OFSS', 'ICICIBANK', 'SHREECEM', 'HINDZINC', 'DIXON', 'JSWENERGY', 'TMPV', 'TMCV']
[2026-05-06T08:25:12.034+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2026-05-06T08:25:12.037+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2026-05-06T08:25:12.108+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=eod_pipeline, task_id=kite_ingest, run_id=manual__2026-05-06T08:24:43.402730+00:00, execution_date=20260506T082443, start_date=20260506T082444, end_date=20260506T082512
[2026-05-06T08:25:12.176+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2026-05-06T08:25:12.217+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2026-05-06T08:25:12.222+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
